,words,frequency
317,arrival,115
318,paid,115
319,doing,115
320,arrange,115
321,citizens,115
322,ki,114
323,drm,114
324,regarding,114
325,govt,114
326,lost,114
327,tt,113
328,didn,113
329,did,113
330,end,113
331,resolved,113
332,solution,113
333,lucknow,113
334,road,112
335,informed,112
336,does,112
337,resolve,111
338,south,111
339,issues,110
340,ur,109
341,instead,109
342,sitting,109
343,boarding,109
344,pass,108
345,properly,108
346,pantry,108
347,extra,108
348,linen,107
349,asked,107
350,ahmedabad,107
351,currently,106
352,tc,106
353,justice,106
354,birth,105
355,sf,104
356,online,104
357,mob,103
358,cancelled,103
359,official,103
360,typing,103
361,varanasi,102
362,tell,102
363,sorry,102
364,point,101
365,office,101
366,anvt,100
367,important,100
368,place,100
369,stoppage,100
370,hello,99
371,everyday,99
372,k,99
373,government,99
374,demand,99
375,congratulations,98
376,quality,98
377,value,98
378,send,98
379,spl,98
380,benefit,98
381,complete,98
382,central,97
383,citizen,97
384,department,97
385,notification,97
386,providing,96
387,humsafar,96
388,happening,96
389,security,96
390,je,96
391,sleep,95
392,bullet,95
393,facilities,95
394,news,95
395,pl,94
396,lower,93
397,wait,93
398,phone,93
399,blankets,93
400,assistance,93
401,medical,93
402,wrong,93
403,planning,93
404,months,93
405,superfast,93
406,ask,93
407,availability,93
408,solve,92
409,connecting,92
410,cover,91
411,november,91
412,including,91
413,problems,91
414,ensure,91
415,candidates,91
416,form,91
417,bedding,90
418,l,90
419,attendent,90
420,sr,90
421,facility,89
422,sure,89
423,open,88
424,student,88
425,bihar,88
426,sit,87
427,huge,87
428,month,87
429,common,87
430,room,87
431,upper,86
432,say,86
433,bedsheets,86
434,safe,86
435,scheduled,86
436,attend,86
437,increase,86
438,bathroom,85
439,schedule,85
440,sincerely,85
441,ltt,84
442,chart,84
443,man,84
444,state,84
445,small,84
446,contractor,84
447,ministry,84
448,area,83
449,different,83
450,super,83
451,parents,83
452,cockroaches,83
453,police,83
454,premium,82
455,type,82
456,departed,82
457,asking,82
458,mail,82
459,trying,82
460,v,82
461,yr,82
462,mother,81
463,sl,81
464,njp,81
465,charges,81
466,recruitment,81
467,roll,80
468,basis,80
469,needs,80
470,law,80
471,washrooms,80
472,position,79
473,cancel,79
474,told,79
475,happened,79
476,deeply,79
477,timing,79
478,e,79
479,travelled,79
480,half,78
481,improve,78
482,maintenance,78
483,halt,78
484,st,78
485,face,78
486,immediate,78
487,jaipur,78
488,levels,78
489,nice,77
490,guys,77
491,w,77
492,ladies,77
493,car,77
494,missed,77
495,sheet,77
496,catch,77
497,lapses,77
498,exam,76
499,miss,76
500,current,76
501,requested,76
502,called,76
503,doesn,76
504,stn,76
505,north,76
506,gaya,75
507,management,75
508,duronto,75
509,bedsheet,75
510,attention,75
511,railmadad,75
512,normal,75
513,seen,75
514,smell,74
515,corruption,74
516,supply,74
517,east,74
518,crowd,74
519,save,74
520,nagpur,73
521,trouble,73
522,bedroll,73
523,mr,73
524,post,73
525,luggage,73
526,slow,72
527,kanpur,72
528,expect,72
529,lko,72
530,took,72
531,message,72
532,emergency,72
533,control,71
534,sheets,71
535,distance,71
536,second,71
537,prayagraj,71
538,main,71
539,loss,71
540,using,70
541,tweet,70
542,tdr,70
543,ex,70
544,authority,70
545,reference,70
546,tier,70
547,price,70
548,inform,69
549,duty,69
550,horrible,69
551,especially,69
552,try,69
553,ye,69
554,requesting,68
555,starting,68
556,safety,68
557,sleeping,68
558,tried,68
559,upto,68
560,development,68
561,week,68
562,despite,67
563,intending,67
564,yes,67
565,case,67
566,gkp,66
567,stopping,66
568,thing,66
569,kiya,66
570,outer,66
571,bound,66
572,lots,66
573,totally,66
574,barauni,66
575,saying,66
576,bangalore,65
577,technician,65
578,father,65
579,bottle,65
580,anand,65
581,surat,65
582,secunderabad,64
583,approx,64
584,salute,64
585,kids,64
586,prepared,64
587,nation,64
588,noted,64
589,technicians,64
590,cost,64
591,raised,63
592,nahi,63
593,welcome,63
594,responsibility,63
595,space,63
596,source,63
597,fake,63
598,wash,63
599,priority,63
600,section,63
601,sharing,63
602,reaching,62
603,raipur,62
604,display,62
605,kolkata,62
606,officer,62
607,rush,62
608,total,62
609,lives,62
610,indore,61
611,ko,61
612,feeling,61
613,employees,61
614,csmt,61
615,ajmer,61
616,consider,61
617,covid,61
618,gate,61
619,city,61
620,vihar,61
621,visit,61
622,resolution,60
623,arrived,60
624,weekly,60
625,ll,60
626,happen,60
627,group,60
628,basic,59
629,women,59
630,leave,59
631,age,59
632,vendor,59
633,allowed,59
634,double,59
635,wife,59
636,looking,59
637,urgently,59
638,changed,59
639,big,58
640,suffer,58
641,bhopal,58
642,passanger,58
643,hon,58
644,away,58
645,website,58
646,kumar,58
647,child,58
648,puri,57
649,improvement,57
650,difficult,57
651,answer,57
652,past,57
653,video,57
654,bag,57
655,parking,57
656,bhi,57
657,diverted,57
658,close,56
659,outside,56
660,selling,56
661,mode,56
662,moving,56
663,behaviour,56
664,fix,56
665,fine,56
666,raiganj,56
667,door,55
668,lady,55
669,option,55
670,early,55
671,country,55
672,appropriate,55
673,rescheduled,55
674,wl,55
675,uts,55
676,pf,55
677,sath,55
678,brother,55
679,enquiry,55
680,major,54
681,entire,54
682,table,54
683,home,54
684,travellers,54
685,ne,54
686,timings,54
687,required,54
688,tracks,54
689,study,54
690,present,53
691,authorities,53
692,madam,53
693,things,53
694,complaints,53
695,higher,53
696,shld,53
697,regards,52
698,heavy,52
699,children,52
700,diya,52
701,needed,52
702,announcement,52
703,shows,52
704,attached,52
705,ago,52
706,regular,52
707,humble,52
708,tvc,52
709,losing,52
710,dalkhola,52
711,charged,51
712,causing,51
713,ddu,51
714,extend,51
715,connectivity,51
716,district,51
717,worse,51
718,parcel,51
719,puja,51
720,correct,51
721,kota,51
722,soldier,51
723,gajole,51
724,itahar,51
725,middle,50
726,tomorrow,50
727,customer,50
728,master,50
729,hell,50
730,isn,50
731,west,50
732,memu,50
733,unhygienic,50
734,serve,50
735,maintainer,50
736,gya,50
737,aya,50
738,patient,49
739,delaying,49
740,bilaspur,49
741,aur,49
742,stuck,49
743,connect,49
744,vendors,49
745,far,49
746,tejas,49
747,remaining,49
748,broken,49
749,stinking,49
750,sunilkumartrack,49
751,qln,49
752,commision,49
753,tms,49
754,nagar,48
755,hyderabad,48
756,checking,48
757,direct,48
758,pillows,48
759,sc,48
760,cancellation,48
761,danapur,48
762,dadar,48
763,bandra,48
764,ble,48
765,manager,48
766,valuable,48
767,commuters,48
768,faced,48
769,western,48
770,g,48
771,completed,48
772,persons,48
773,anup,48
774,satpathy,48
775,link,47
776,actual,47
777,yrs,47
778,extremely,47
779,id,47
780,kya,47
781,intercity,47
782,garib,47
783,introduce,47
784,gets,47
785,waste,47
786,mre,47
787,camp,47
788,expected,46
789,allow,46
790,happens,46
791,cold,46
792,jodhpur,46
793,metro,46
794,kr,46
795,earlier,46
796,officers,46
797,order,46
798,info,46
799,adi,46
800,bengaluru,46
801,filled,46
802,faster,46
803,tea,46
804,happy,46
805,conditions,45
806,gondia,45
807,hand,45
808,bring,45
809,passing,45
810,location,45
811,rath,45
812,vacancy,45
813,sal,45
814,outreach,45
815,looks,44
816,feedback,44
817,rule,44
818,unauthorised,44
819,supposed,44
820,missing,44
821,fun,44
822,zone,44
823,bridge,44
824,flight,44
825,world,44
826,krke,44
827,excellent,44
828,dhoka,44
829,dedicated,44
830,respect,43
831,explain,43
832,creating,43
833,takes,43
834,light,43
835,ppl,43
836,complained,43
837,payment,43
838,additional,43
839,multiple,43
840,hard,43
841,catering,43
842,worth,43
843,handed,43
844,basin,43
845,ranchi,43
846,reasons,43
847,window,43
848,depart,43
849,older,43
850,remove,42
851,shared,42
852,responding,42
853,kid,42
854,power,42
855,feel,42
856,gone,42
857,sent,42
858,true,42
859,runs,42
860,works,42
861,town,42
862,pe,42
863,smelling,42
864,par,42
865,construction,42
866,amritsar,41
867,crowded,41
868,ir,41
869,quick,41
870,add,41
871,allowing,41
872,restore,41
873,hind,41
874,awareness,41
875,cash,41
876,manage,41
877,return,41
878,won,41
879,short,40
880,respond,40
881,cooling,40
882,cabin,40
883,cause,40
884,disappointed,40
885,vadodara,40
886,following,40
887,platforms,40
888,modi,40
889,denied,40
890,lavel,40
891,technical,39
892,hygiene,39
893,disgusting,39
894,rake,39
895,vigilance,39
896,act,39
897,existing,39
898,means,39
899,bsb,39
900,blocked,39
901,allotted,38
902,talking,38
903,ground,38
904,appreciate,38
905,loot,38
906,registered,38
907,singh,38
908,highly,38
909,visited,38
910,timely,37
911,complaining,37
912,region,37
913,served,37
914,wish,37
915,unnecessary,37
916,kept,37
917,vacant,37
918,account,37
919,rude,37
920,ve,37
921,sister,37
922,arrive,37
923,mysore,37
924,little,37
925,traffic,37
926,ready,37
927,neer,37
928,efforts,37
929,buy,37
930,scam,37
931,assist,37
932,comes,37
933,asansol,37
934,joining,37
935,duranto,37
936,election,37
937,society,37
938,sbc,36
939,goods,36
940,compensate,36
941,slp,36
942,sealdah,36
943,body,36
944,kranti,36
945,occupied,36
946,mentioned,36
947,chandigarh,36
948,project,36
949,minute,36
950,went,36
951,covers,36
952,actions,36
953,rate,36
954,halted,36
955,regularly,36
956,follow,35
957,playing,35
958,dhanbad,35
959,stolen,35
960,listen,35
961,peoples,35
962,set,35
963,tkt,35
964,bogie,35
965,jai,35
966,garbage,35
967,evening,35
968,bjp,35
969,malda,35
970,revenue,35
971,filed,35
972,dial,35
973,kar,34
974,crossing,34
975,shameful,34
976,says,34
977,rest,34
978,deducted,34
979,raha,34
980,female,34
981,usual,34
982,card,34
983,ashwini,34
984,suggestion,34
985,notice,34
986,administration,34
987,health,34
988,festival,33
989,avoid,33
990,inspite,33
991,pain,33
992,risk,33
993,muzaffarpur,33
994,drop,33
995,helping,33
996,illegal,33
997,jammu,33
998,bareilly,33
999,kne,33
1000,attach,33
1001,closing,33
1002,pic,33
1003,madgaon,33
1004,delivered,33
1005,note,33
1006,gm,33
1007,raise,33
1008,dustbin,33
1009,borivali,33
1010,release,33
1011,ab,33
1012,mathura,32
1013,madad,32
1014,specially,32
1015,delays,32
1016,onboard,32
1017,fully,32
1018,saw,32
1019,stand,32
1020,alloted,32
1021,ridiculous,32
1022,kir,32
1023,boards,32
1024,sad,32
1025,baby,32
1026,rourkela,32
1027,business,32
1028,pnbe,32
1029,wasting,32
1030,couch,32
1031,issued,32
1032,real,32
1033,helpline,32
1034,jabalpur,32
1035,tak,32
1036,step,32
1037,checked,32
1038,imagine,32
1039,passed,32
1040,nanded,31
1041,handle,31
1042,rules,31
1043,drive,31
1044,transfer,31
1045,haven,31
1046,doj,31
1047,dm,31
1048,ntes,31
1049,leaving,31
1050,concession,31
1051,chinpai,31
1052,land,31
1053,dont,31
1054,fair,31
1055,carry,31
1056,enter,31
1057,lack,31
1058,file,31
1059,joke,31
1060,watch,31
1061,useless,30
1062,completely,30
1063,medicine,30
1064,listening,30
1065,unfortunately,30
1066,rolls,30
1067,floor,30
1068,vskp,30
1069,towel,30
1070,karo,30
1071,mysuru,30
1072,pending,30
1073,ypr,30
1074,operational,30
1075,advance,30
1076,rampurhat,30
1077,goa,30
1078,drinking,30
1079,abhi,30
1080,owner,30
1081,employee,30
1082,rupees,30
1083,focus,30
1084,nzm,29
1085,hv,29
1086,steps,29
1087,places,29
1088,engine,29
1089,grp,29
1090,mess,29
1091,thought,29
1092,period,29
1093,helpful,29
1094,incident,29
1095,couldn,29
1096,peak,29
1097,fool,29
1098,mention,29
1099,dinner,29
1100,kalyan,29
1101,continuously,29
1102,samastipur,29
1103,various,29
1104,panvel,29
1105,southern,29
1106,failed,29
1107,ok,29
1108,bathrooms,29
1109,suggest,29
1110,digital,29
1111,oct,29
1112,busy,29
1113,rahe,28
1114,suppose,28
1115,im,28
1116,precious,28
1117,ha,28
1118,fault,28
1119,dated,28
1120,valid,28
1121,personal,28
1122,amenities,28
1123,clarify,28
1124,report,28
1125,block,28
1126,ref,28
1127,difference,28
1128,terminus,28
1129,flush,28
1130,sdah,28
1131,shalimar,28
1132,fresh,28
1133,solved,28
1134,comfortable,28
1135,bcoz,28
1136,everytime,28
1137,acceptable,28
1138,aspirants,28
1139,chair,28
1140,standard,28
1141,urinal,28
1142,thane,28
1143,developed,28
1144,compartments,28
1145,treatment,28
1146,banaras,28
1147,koaa,28
1148,entered,27
1149,bedrolls,27
1150,private,27
1151,reduce,27
1152,elderly,27
1153,gwalior,27
1154,darbhanga,27
1155,log,27
1156,confirmation,27
1157,bengal,27
1158,progress,27
1159,guidelines,27
1160,cockroach,27
1161,tap,27
1162,apprentice,27
1163,guwahati,27
1164,virar,27
1165,bju,27
1166,empanel,27
1167,tech,27
1168,increasing,26
1169,finally,26
1170,air,26
1171,human,26
1172,october,26
1173,vb,26
1174,mistake,26
1175,jp,26
1176,mai,26
1177,led,26
1178,staffs,26
1179,cleared,26
1180,purpose,26
1181,forcefully,26
1182,attender,26
1183,proof,26
1184,god,26
1185,nizamuddin,26
1186,similar,26
1187,design,26
1188,msg,26
1189,covered,26
1190,forward,26
1191,regard,26
1192,quite,26
1193,visakhapatnam,26
1194,durg,26
1195,mfp,26
1196,hey,26
1197,maintained,26
1198,mas,26
1199,mys,26
1200,solapur,26
1201,lift,26
1202,waltair,26
1203,failure,26
1204,washing,26
1205,declared,26
1206,error,26
1207,dv,26
1208,sms,25
1209,upgrade,25
1210,helpless,25
1211,bus,25
1212,operate,25
1213,maximum,25
1214,patients,25
1215,entering,25
1216,extension,25
1217,members,25
1218,trial,25
1219,udaipur,25
1220,cc,25
1221,hatia,25
1222,seating,25
1223,low,25
1224,ordered,25
1225,cantt,25
1226,according,25
1227,berths,25
1228,network,25
1229,chance,25
1230,cross,25
1231,tirupati,25
1232,smvt,25
1233,conveyed,25
1234,filthy,25
1235,opportunity,25
1236,ahead,25
1237,updated,25
1238,ja,25
1239,painful,24
1240,twice,24
1241,disappointing,24
1242,ganga,24
1243,uncomfortable,24
1244,aged,24
1245,grievance,24
1246,kuch,24
1247,prior,24
1248,candidate,24
1249,badly,24
1250,frequently,24
1251,ek,24
1252,photo,24
1253,checker,24
1254,dream,24
1255,drunk,24
1256,repeated,24
1257,proud,24
1258,decision,24
1259,suffocation,24
1260,stoppages,24
1261,accident,24
1262,dli,24
1263,view,24
1264,fixed,24
1265,liye,24
1266,bro,24
1267,windows,24
1268,jobs,24
1269,irresponsible,24
1270,twitter,24
1271,appointment,24
1272,compensation,24
1273,kashi,24
1274,infrastructure,24
1275,prompt,24
1276,publish,24
1277,churchgate,24
1278,question,24
1279,wat,24
1280,stay,24
1281,crossed,24
1282,sunday,24
1283,entrance,23
1284,cares,23
1285,electric,23
1286,pre,23
1287,charger,23
1288,meeting,23
1289,noise,23
1290,sold,23
1291,cities,23
1292,mosquitoes,23
1293,pick,23
1294,o,23
1295,kharagpur,23
1296,kms,23
1297,minimum,23
1298,initiative,23
1299,decided,23
1300,register,23
1301,related,23
1302,temperature,23
1303,trust,23
1304,kare,23
1305,encroachment,23
1306,arun,23
1307,increased,23
1308,thankyou,23
1309,escalators,23
1310,court,23
1311,tax,23
1312,ccaa,23
1313,alp,23
1314,bsp,23
1315,mean,23
1316,goes,23
1317,asr,23
1318,guess,23
1319,ngp,23
1320,bhagalpur,23
1321,difficulties,23
1322,instructed,23
1323,emu,23
1324,forgot,23
1325,examination,23
1326,wanted,23
1327,beautiful,23
1328,escalator,23
1329,ambala,23
1330,premises,23
1331,amazing,23
1332,separate,23
1333,ukhra,23
1334,saal,23
1335,arrangements,22
1336,stops,22
1337,automatically,22
1338,wow,22
1339,corrupt,22
1340,paper,22
1341,bcz,22
1342,absolutely,22
1343,turn,22
1344,bina,22
1345,washed,22
1346,hospital,22
1347,refused,22
1348,machine,22
1349,eastern,22
1350,facilitate,22
1351,tweets,22
1352,fir,22
1353,tata,22
1354,personnel,22
1355,policy,22
1356,looting,22
1357,terminal,22
1358,jain,22
1359,bikaner,22
1360,words,22
1361,member,22
1362,refunded,22
1363,hoga,22
1364,reality,22
1365,lines,22
1366,bhusawal,22
1367,moment,22
1368,wallet,22
1369,unsafe,22
1370,requests,22
1371,scr,22
1372,pr,22
1373,rha,22
1374,house,22
1375,unnecessarily,22
1376,kmph,22
1377,canceled,22
1378,disturbing,21
1379,continues,21
1380,passage,21
1381,picking,21
1382,koi,21
1383,nearby,21
1384,kudos,21
1385,bribe,21
1386,previous,21
1387,couple,21
1388,friend,21
1389,read,21
1390,behavior,21
1391,known,21
1392,unclean,21
1393,roaming,21
1394,wonderful,21
1395,pax,21
1396,locals,21
1397,application,21
1398,lhb,21
1399,entry,21
1400,magadh,21
1401,mangalore,21
1402,tag,21
1403,nos,21
1404,spj,21
1405,fact,21
1406,loaded,21
1407,karnataka,21
1408,intervene,21
1409,gujarat,21
1410,attending,21
1411,bhuj,21
1412,site,21
1413,poorva,21
1414,shown,21
1415,knows,21
1416,sake,21
1417,college,21
1418,veg,21
1419,quota,21
1420,andal,21
1421,era,21
1422,telling,21
1423,smart,21
1424,organised,21
1425,dena,21
1426,siuri,21
1427,talk,20
1428,arrives,20
1429,mismanagement,20
1430,saharsa,20
1431,respective,20
1432,walk,20
1433,passangers,20
1434,daughter,20
1435,dehradun,20
1436,harassment,20
1437,involved,20
1438,bhee,20
1439,congestion,20
1440,followed,20
1441,held,20
1442,restart,20
1443,bhubaneswar,20
1444,accept,20
1445,based,20
1446,unfortunate,20
1447,mp,20
1448,sign,20
1449,recently,20
1450,strong,20
1451,damaged,20
1452,email,20
1453,transparency,20
1454,items,20
1455,ludhiana,20
1456,announced,20
1457,modification,20
1458,fever,20
1459,wr,20
1460,na,20
1461,points,20
1462,states,20
1463,conducted,20
1464,ma,20
1465,holders,20
1466,acting,20
1467,afraid,20
1468,live,20
1469,pandemic,20
1470,training,20
1471,gzb,20
1472,legal,20
1473,secured,20
1474,vacancies,20
1475,pakur,20
1476,communication,20
1477,portal,19
1478,shall,19
1479,depression,19
1480,sell,19
1481,technology,19
1482,agra,19
1483,bothered,19
1484,hain,19
1485,bhusaval,19
1486,switch,19
1487,numbers,19
1488,haridwar,19
1489,transport,19
1490,fear,19
1491,rewa,19
1492,hungry,19
1493,salem,19
1494,madurai,19
1495,reaches,19
1496,divn,19
1497,itarsi,19
1498,media,19
1499,aware,19
1500,foul,19
1501,infant,19
1502,chal,19
1503,glass,19
1504,tatanagar,19
1505,hot,19
1506,practice,19
1507,example,19
1508,inspection,19
1509,repair,19
1510,changing,19
1511,ghy,19
1512,upgraded,19
1513,tr,19
1514,operation,19
1515,ya,19
1516,earn,19
1517,ujjain,19
1518,enjoying,19
1519,collector,19
1520,cnb,19
1521,verification,19
1522,connected,19
1523,doors,19
1524,agartala,19
1525,plzz,19
1526,hasn,19
1527,kab,19
1528,dept,19
1529,keeping,19
1530,punctual,19
1531,genuine,19
1532,signal,19
1533,dr,19
1534,panel,19
1535,bar,19
1536,mrp,19
1537,black,19
1538,officiai,19
1539,walkathon,19
1540,amlai,19
1541,linens,19
1542,exact,18
1543,later,18
1544,tha,18
1545,bank,18
1546,revert,18
1547,insects,18
1548,accordingly,18
1549,gupta,18
1550,overcrowded,18
1551,jaye,18
1552,serving,18
1553,fight,18
1554,preparation,18
1555,growth,18
1556,vglb,18
1557,negligence,18
1558,looked,18
1559,sampark,18
1560,kro,18
1561,season,18
1562,laptop,18
1563,mam,18
1564,sarai,18
1565,rohilla,18
1566,nuisance,18
1567,menu,18
1568,idea,18
1569,advertisement,18
1570,raising,18
1571,moradabad,18
1572,y,18
1573,actually,18
1574,putting,18
1575,review,18
1576,harassing,18
1577,retiring,18
1578,transportation,18
1579,reminder,18
1580,belagavi,18
1581,calling,18
1582,image,18
1583,packed,18
1584,mom,18
1585,wasted,18
1586,require,18
1587,created,18
1588,leadership,18
1589,confused,18
1590,exactly,18
1591,refer,18
1592,remain,18
1593,march,18
1594,vaishnaw,18
1595,observed,18
1596,rrbs,18
1597,gt,18
1598,dbg,18
1599,supervisor,18
1600,bharuch,18
1601,spending,18
1602,bogi,18
1603,internet,18
1604,iss,18
1605,extended,17
1606,adjust,17
1607,heart,17
1608,whats,17
1609,economy,17
1610,bags,17
1611,seeing,17
1612,written,17
1613,sub,17
1614,changes,17
1615,resolving,17
1616,rc,17
1617,game,17
1618,address,17
1619,party,17
1620,siliguri,17
1621,agent,17
1622,f,17
1623,access,17
1624,starts,17
1625,safely,17
1626,social,17
1627,meaning,17
1628,national,17
1629,reservations,17
1630,yard,17
1631,cris,17
1632,truly,17
1633,brc,17
1634,positive,17
1635,expecting,17
1636,capital,17
1637,meet,17
1638,gave,17
1639,sense,17
1640,returned,17
1641,routes,17
1642,regret,17
1643,arrangement,17
1644,incidents,17
1645,meri,17
1646,nowadays,17
1647,spend,17
1648,sending,17
1649,reschedule,17
1650,alternative,17
1651,ones,17
1652,hats,17
1653,gov,17
1654,electricity,17
1655,unauthorized,17
1656,departing,17
1657,cr,17
1658,committee,17
1659,unwashed,17
1660,wonder,17
1661,chaos,17
1662,prices,17
1663,terrible,17
1664,specific,17
1665,maintaining,17
1666,karwar,17
1667,placed,17
1668,believe,17
1669,collect,17
1670,considering,17
1671,jo,17
1672,opened,17
1673,attitude,17
1674,boy,17
1675,hold,17
1676,odisha,17
1677,functional,17
1678,jhansi,17
1679,propaganda,17
1680,ghaziabad,17
1681,neat,17
1682,connection,17
1683,transaction,17
1684,campaign,17
1685,offer,17
1686,indicator,16
1687,functioning,16
1688,limit,16
1689,suffocating,16
1690,req,16
1691,receive,16
1692,hall,16
1693,ignored,16
1694,nt,16
1695,ride,16
1696,upi,16
1697,contacted,16
1698,jbp,16
1699,dnr,16
1700,join,16
1701,ratnagiri,16
1702,performance,16
1703,avail,16
1704,frustrating,16
1705,mid,16
1706,implemented,16
1707,remarks,16
1708,lodged,16
1709,jat,16
1710,plateform,16
1711,dynamic,16
1712,clearly,16
1713,receipt,16
1714,pryj,16
1715,thousands,16
1716,love,16
1717,aap,16
1718,minor,16
1719,agree,16
1720,users,16
1721,chhath,16
1722,cooperation,16
1723,cst,16
1724,packet,16
1725,ksr,16
1726,hit,16
1727,advise,16
1728,mark,16
1729,holder,16
1730,hubli,16
1731,doctor,16
1732,traveled,16
1733,iam,16
1734,wastage,16
1735,fail,16
1736,role,16
1737,limited,16
1738,supporting,16
1739,arguing,16
1740,union,16
1741,fans,16
1742,thanx,16
1743,improved,16
1744,effort,16
1745,commercial,16
1746,code,16
1747,property,16
1748,halts,16
1749,arrogant,16
1750,shc,16
1751,inaugurated,16
1752,bottles,16
1753,operations,16
1754,cpr,16
1755,stall,16
1756,simply,16
1757,sab,16
1758,average,16
1759,bookings,16
1760,avadh,16
1761,vijayawada,16
1762,ara,16
1763,cut,16
1764,smoking,16
1765,unemployment,16
1766,opening,16
1767,patliputra,16
1768,azad,16
1769,sakte,16
1770,milk,16
1771,mental,15
1772,hardly,15
1773,hua,15
1774,updates,15
1775,bt,15
1776,coz,15
1777,bhai,15
1778,easily,15
1779,telangana,15
1780,instruct,15
1781,wet,15
1782,ignoring,15
1783,wise,15
1784,vote,15
1785,agents,15
1786,nearly,15
1787,turned,15
1788,simple,15
1789,shortage,15
1790,planned,15
1791,foot,15
1792,terms,15
1793,gauge,15
1794,maharashtra,15
1795,cleaner,15
1796,effect,15
1797,freight,15
1798,guy,15
1799,financial,15
1800,le,15
