,0
76,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
77,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
78,"{'label': 'POSITIVE', 'score': 0.7134993672370911}"
79,"{'label': 'NEGATIVE', 'score': 0.9983019828796387}"
80,"{'label': 'NEGATIVE', 'score': 0.9987622499465942}"
81,"{'label': 'POSITIVE', 'score': 0.6417003870010376}"
82,"{'label': 'NEGATIVE', 'score': 0.9956358075141907}"
83,"{'label': 'NEGATIVE', 'score': 0.9954337477684021}"
84,"{'label': 'NEGATIVE', 'score': 0.9958209991455078}"
85,"{'label': 'NEGATIVE', 'score': 0.9970704317092896}"
86,"{'label': 'NEGATIVE', 'score': 0.9986562728881836}"
87,"{'label': 'NEGATIVE', 'score': 0.6218270659446716}"
88,"{'label': 'POSITIVE', 'score': 0.9997790455818176}"
89,"{'label': 'NEGATIVE', 'score': 0.999607503414154}"
90,"{'label': 'NEGATIVE', 'score': 0.9968620538711548}"
91,"{'label': 'NEGATIVE', 'score': 0.9727257490158081}"
92,"{'label': 'NEGATIVE', 'score': 0.9996071457862854}"
93,"{'label': 'NEGATIVE', 'score': 0.9932990074157715}"
94,"{'label': 'NEGATIVE', 'score': 0.9979740977287292}"
95,"{'label': 'NEGATIVE', 'score': 0.9940197467803955}"
96,"{'label': 'NEGATIVE', 'score': 0.9949912428855896}"
97,"{'label': 'NEGATIVE', 'score': 0.9912972450256348}"
98,"{'label': 'NEGATIVE', 'score': 0.9922088384628296}"
99,"{'label': 'NEGATIVE', 'score': 0.994996190071106}"
100,"{'label': 'NEGATIVE', 'score': 0.9976258873939514}"
101,"{'label': 'NEGATIVE', 'score': 0.999007523059845}"
102,"{'label': 'NEGATIVE', 'score': 0.9967564940452576}"
103,"{'label': 'NEGATIVE', 'score': 0.6449792981147766}"
104,"{'label': 'NEGATIVE', 'score': 0.9594624638557434}"
105,"{'label': 'NEGATIVE', 'score': 0.9187438488006592}"
106,"{'label': 'NEGATIVE', 'score': 0.9991422891616821}"
107,"{'label': 'NEGATIVE', 'score': 0.9977583885192871}"
108,"{'label': 'NEGATIVE', 'score': 0.9981572031974792}"
109,"{'label': 'NEGATIVE', 'score': 0.9919037222862244}"
110,"{'label': 'NEGATIVE', 'score': 0.9876211285591125}"
111,"{'label': 'NEGATIVE', 'score': 0.9898714423179626}"
112,"{'label': 'NEGATIVE', 'score': 0.9780176281929016}"
113,"{'label': 'NEGATIVE', 'score': 0.9964631199836731}"
114,"{'label': 'NEGATIVE', 'score': 0.998559296131134}"
115,"{'label': 'NEGATIVE', 'score': 0.9991589784622192}"
116,"{'label': 'NEGATIVE', 'score': 0.9957333207130432}"
117,"{'label': 'NEGATIVE', 'score': 0.9947426319122314}"
118,"{'label': 'NEGATIVE', 'score': 0.9993906021118164}"
119,"{'label': 'NEGATIVE', 'score': 0.9980851411819458}"
120,"{'label': 'POSITIVE', 'score': 0.998348593711853}"
121,"{'label': 'NEGATIVE', 'score': 0.9993906021118164}"
122,"{'label': 'NEGATIVE', 'score': 0.9080939888954163}"
123,"{'label': 'NEGATIVE', 'score': 0.9968735575675964}"
124,"{'label': 'NEGATIVE', 'score': 0.9712411761283875}"
125,"{'label': 'NEGATIVE', 'score': 0.975623607635498}"
126,"{'label': 'NEGATIVE', 'score': 0.9815322160720825}"
127,"{'label': 'NEGATIVE', 'score': 0.9883588552474976}"
128,"{'label': 'NEGATIVE', 'score': 0.9183696508407593}"
129,"{'label': 'POSITIVE', 'score': 0.9927825927734375}"
130,"{'label': 'NEGATIVE', 'score': 0.9937384128570557}"
131,"{'label': 'NEGATIVE', 'score': 0.9992362260818481}"
132,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
133,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
134,"{'label': 'NEGATIVE', 'score': 0.9995427131652832}"
135,"{'label': 'NEGATIVE', 'score': 0.9990938901901245}"
136,"{'label': 'NEGATIVE', 'score': 0.9995124340057373}"
137,"{'label': 'NEGATIVE', 'score': 0.9993176460266113}"
138,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
139,"{'label': 'NEGATIVE', 'score': 0.9996858835220337}"
140,"{'label': 'NEGATIVE', 'score': 0.9815322160720825}"
141,"{'label': 'POSITIVE', 'score': 0.9975069165229797}"
142,"{'label': 'NEGATIVE', 'score': 0.9720190763473511}"
143,"{'label': 'NEGATIVE', 'score': 0.9987602233886719}"
144,"{'label': 'NEGATIVE', 'score': 0.9997076392173767}"
145,"{'label': 'POSITIVE', 'score': 0.987154483795166}"
146,"{'label': 'NEGATIVE', 'score': 0.9939553141593933}"
147,"{'label': 'POSITIVE', 'score': 0.9954409599304199}"
148,"{'label': 'NEGATIVE', 'score': 0.9997488856315613}"
149,"{'label': 'NEGATIVE', 'score': 0.9981335997581482}"
150,"{'label': 'NEGATIVE', 'score': 0.9971940517425537}"
151,"{'label': 'NEGATIVE', 'score': 0.9934305548667908}"
152,"{'label': 'POSITIVE', 'score': 0.9997653365135193}"
153,"{'label': 'NEGATIVE', 'score': 0.9893235564231873}"
154,"{'label': 'NEGATIVE', 'score': 0.786919116973877}"
155,"{'label': 'NEGATIVE', 'score': 0.9973891377449036}"
156,"{'label': 'POSITIVE', 'score': 0.9996110796928406}"
157,"{'label': 'NEGATIVE', 'score': 0.8330340385437012}"
158,"{'label': 'NEGATIVE', 'score': 0.9719014763832092}"
159,"{'label': 'NEGATIVE', 'score': 0.6316047310829163}"
160,"{'label': 'NEGATIVE', 'score': 0.9997177720069885}"
161,"{'label': 'NEGATIVE', 'score': 0.9973244667053223}"
162,"{'label': 'NEGATIVE', 'score': 0.9996253252029419}"
163,"{'label': 'NEGATIVE', 'score': 0.7739862203598022}"
164,"{'label': 'NEGATIVE', 'score': 0.9997242093086243}"
165,"{'label': 'NEGATIVE', 'score': 0.9960619807243347}"
166,"{'label': 'NEGATIVE', 'score': 0.99530029296875}"
167,"{'label': 'NEGATIVE', 'score': 0.9979225993156433}"
168,"{'label': 'POSITIVE', 'score': 0.999256432056427}"
169,"{'label': 'POSITIVE', 'score': 0.9987585544586182}"
170,"{'label': 'NEGATIVE', 'score': 0.9315661787986755}"
171,"{'label': 'NEGATIVE', 'score': 0.973186731338501}"
172,"{'label': 'NEGATIVE', 'score': 0.9985972046852112}"
173,"{'label': 'NEGATIVE', 'score': 0.998144268989563}"
174,"{'label': 'NEGATIVE', 'score': 0.9804348945617676}"
175,"{'label': 'POSITIVE', 'score': 0.9986973404884338}"
176,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
177,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
178,"{'label': 'POSITIVE', 'score': 0.9906672835350037}"
179,"{'label': 'NEGATIVE', 'score': 0.9990400671958923}"
180,"{'label': 'NEGATIVE', 'score': 0.7755811214447021}"
181,"{'label': 'NEGATIVE', 'score': 0.9997106194496155}"
182,"{'label': 'NEGATIVE', 'score': 0.9990400671958923}"
183,"{'label': 'POSITIVE', 'score': 0.6653753519058228}"
184,"{'label': 'NEGATIVE', 'score': 0.8884151577949524}"
185,"{'label': 'POSITIVE', 'score': 0.6653753519058228}"
186,"{'label': 'NEGATIVE', 'score': 0.9993502497673035}"
187,"{'label': 'POSITIVE', 'score': 0.9158599972724915}"
188,"{'label': 'NEGATIVE', 'score': 0.9952783584594727}"
189,"{'label': 'NEGATIVE', 'score': 0.9891285300254822}"
190,"{'label': 'NEGATIVE', 'score': 0.9960324168205261}"
191,"{'label': 'NEGATIVE', 'score': 0.9814388155937195}"
192,"{'label': 'NEGATIVE', 'score': 0.9737786054611206}"
193,"{'label': 'NEGATIVE', 'score': 0.998001754283905}"
194,"{'label': 'NEGATIVE', 'score': 0.9909592866897583}"
195,"{'label': 'NEGATIVE', 'score': 0.9942113757133484}"
196,"{'label': 'NEGATIVE', 'score': 0.9941564798355103}"
197,"{'label': 'NEGATIVE', 'score': 0.9956035614013672}"
198,"{'label': 'NEGATIVE', 'score': 0.9953279495239258}"
199,"{'label': 'NEGATIVE', 'score': 0.9958544969558716}"
200,"{'label': 'NEGATIVE', 'score': 0.6473196744918823}"
201,"{'label': 'NEGATIVE', 'score': 0.993024468421936}"
202,"{'label': 'NEGATIVE', 'score': 0.9995664954185486}"
203,"{'label': 'NEGATIVE', 'score': 0.9677416086196899}"
204,"{'label': 'NEGATIVE', 'score': 0.99391770362854}"
205,"{'label': 'POSITIVE', 'score': 0.9998642206192017}"
206,"{'label': 'NEGATIVE', 'score': 0.9864705204963684}"
207,"{'label': 'NEGATIVE', 'score': 0.9987637996673584}"
208,"{'label': 'NEGATIVE', 'score': 0.6561284065246582}"
209,"{'label': 'NEGATIVE', 'score': 0.9990794658660889}"
210,"{'label': 'POSITIVE', 'score': 0.9725828766822815}"
211,"{'label': 'NEGATIVE', 'score': 0.9984563589096069}"
212,"{'label': 'NEGATIVE', 'score': 0.9962150454521179}"
213,"{'label': 'NEGATIVE', 'score': 0.8694802522659302}"
214,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
215,"{'label': 'POSITIVE', 'score': 0.9998007416725159}"
216,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
217,"{'label': 'POSITIVE', 'score': 0.9998576641082764}"
218,"{'label': 'NEGATIVE', 'score': 0.9987068176269531}"
219,"{'label': 'NEGATIVE', 'score': 0.9995875954627991}"
220,"{'label': 'NEGATIVE', 'score': 0.9790202975273132}"
221,"{'label': 'NEGATIVE', 'score': 0.9796091914176941}"
222,"{'label': 'NEGATIVE', 'score': 0.9885613322257996}"
223,"{'label': 'NEGATIVE', 'score': 0.9995672106742859}"
224,"{'label': 'NEGATIVE', 'score': 0.9824383854866028}"
225,"{'label': 'NEGATIVE', 'score': 0.9954236149787903}"
226,"{'label': 'NEGATIVE', 'score': 0.8840371966362}"
227,"{'label': 'NEGATIVE', 'score': 0.9812604188919067}"
228,"{'label': 'NEGATIVE', 'score': 0.9979257583618164}"
229,"{'label': 'NEGATIVE', 'score': 0.9983957409858704}"
230,"{'label': 'POSITIVE', 'score': 0.9481379389762878}"
231,"{'label': 'NEGATIVE', 'score': 0.9958372116088867}"
232,"{'label': 'NEGATIVE', 'score': 0.9966220855712891}"
233,"{'label': 'NEGATIVE', 'score': 0.9857284426689148}"
234,"{'label': 'NEGATIVE', 'score': 0.8660211563110352}"
235,"{'label': 'NEGATIVE', 'score': 0.8818585276603699}"
236,"{'label': 'NEGATIVE', 'score': 0.9953627586364746}"
237,"{'label': 'POSITIVE', 'score': 0.8912577629089355}"
238,"{'label': 'NEGATIVE', 'score': 0.9939273595809937}"
239,"{'label': 'POSITIVE', 'score': 0.9784836769104004}"
240,"{'label': 'NEGATIVE', 'score': 0.9971931576728821}"
241,"{'label': 'NEGATIVE', 'score': 0.9977719187736511}"
242,"{'label': 'NEGATIVE', 'score': 0.9963786005973816}"
243,"{'label': 'NEGATIVE', 'score': 0.996766209602356}"
244,"{'label': 'NEGATIVE', 'score': 0.9928708672523499}"
245,"{'label': 'NEGATIVE', 'score': 0.997283935546875}"
246,"{'label': 'NEGATIVE', 'score': 0.9995991587638855}"
247,"{'label': 'POSITIVE', 'score': 0.9966250658035278}"
248,"{'label': 'NEGATIVE', 'score': 0.6300087571144104}"
249,"{'label': 'POSITIVE', 'score': 0.9989909529685974}"
250,"{'label': 'NEGATIVE', 'score': 0.9942882061004639}"
251,"{'label': 'NEGATIVE', 'score': 0.910161554813385}"
252,"{'label': 'POSITIVE', 'score': 0.995797872543335}"
253,"{'label': 'NEGATIVE', 'score': 0.9964777827262878}"
254,"{'label': 'NEGATIVE', 'score': 0.9993269443511963}"
255,"{'label': 'NEGATIVE', 'score': 0.9745826125144958}"
256,"{'label': 'NEGATIVE', 'score': 0.977477490901947}"
257,"{'label': 'NEGATIVE', 'score': 0.7585821747779846}"
258,"{'label': 'POSITIVE', 'score': 0.9750366806983948}"
259,"{'label': 'POSITIVE', 'score': 0.9843714833259583}"
260,"{'label': 'NEGATIVE', 'score': 0.9937399625778198}"
261,"{'label': 'NEGATIVE', 'score': 0.9156423807144165}"
262,"{'label': 'NEGATIVE', 'score': 0.999342143535614}"
263,"{'label': 'POSITIVE', 'score': 0.8053849935531616}"
264,"{'label': 'NEGATIVE', 'score': 0.9982671737670898}"
265,"{'label': 'POSITIVE', 'score': 0.8999642133712769}"
266,"{'label': 'NEGATIVE', 'score': 0.993127703666687}"
267,"{'label': 'NEGATIVE', 'score': 0.9992744326591492}"
268,"{'label': 'POSITIVE', 'score': 0.997162401676178}"
269,"{'label': 'POSITIVE', 'score': 0.9133138656616211}"
270,"{'label': 'NEGATIVE', 'score': 0.9757997393608093}"
271,"{'label': 'POSITIVE', 'score': 0.9964109063148499}"
272,"{'label': 'NEGATIVE', 'score': 0.9972783923149109}"
273,"{'label': 'NEGATIVE', 'score': 0.9954872727394104}"
274,"{'label': 'NEGATIVE', 'score': 0.9901313781738281}"
275,"{'label': 'NEGATIVE', 'score': 0.7697266936302185}"
276,"{'label': 'POSITIVE', 'score': 0.9959977865219116}"
277,"{'label': 'NEGATIVE', 'score': 0.9836291670799255}"
278,"{'label': 'NEGATIVE', 'score': 0.9960237741470337}"
279,"{'label': 'NEGATIVE', 'score': 0.9961298704147339}"
280,"{'label': 'NEGATIVE', 'score': 0.9978391528129578}"
281,"{'label': 'NEGATIVE', 'score': 0.988987147808075}"
282,"{'label': 'NEGATIVE', 'score': 0.9967851638793945}"
283,"{'label': 'NEGATIVE', 'score': 0.988609790802002}"
284,"{'label': 'POSITIVE', 'score': 0.9997228980064392}"
285,"{'label': 'NEGATIVE', 'score': 0.9615478515625}"
286,"{'label': 'NEGATIVE', 'score': 0.9275502562522888}"
287,"{'label': 'POSITIVE', 'score': 0.9991402626037598}"
288,"{'label': 'POSITIVE', 'score': 0.9998630285263062}"
289,"{'label': 'POSITIVE', 'score': 0.9955034852027893}"
290,"{'label': 'POSITIVE', 'score': 0.9766148924827576}"
291,"{'label': 'NEGATIVE', 'score': 0.9751508235931396}"
292,"{'label': 'POSITIVE', 'score': 0.9997476935386658}"
293,"{'label': 'NEGATIVE', 'score': 0.995497465133667}"
294,"{'label': 'NEGATIVE', 'score': 0.9891710877418518}"
295,"{'label': 'POSITIVE', 'score': 0.8266599774360657}"
296,"{'label': 'NEGATIVE', 'score': 0.9513698816299438}"
297,"{'label': 'POSITIVE', 'score': 0.999256432056427}"
298,"{'label': 'NEGATIVE', 'score': 0.9504653811454773}"
299,"{'label': 'POSITIVE', 'score': 0.9996100068092346}"
300,"{'label': 'NEGATIVE', 'score': 0.9984549283981323}"
301,"{'label': 'NEGATIVE', 'score': 0.9980826377868652}"
302,"{'label': 'NEGATIVE', 'score': 0.9218543171882629}"
303,"{'label': 'POSITIVE', 'score': 0.9988924860954285}"
304,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
305,"{'label': 'NEGATIVE', 'score': 0.994066596031189}"
306,"{'label': 'NEGATIVE', 'score': 0.9995610117912292}"
307,"{'label': 'NEGATIVE', 'score': 0.9996521472930908}"
308,"{'label': 'NEGATIVE', 'score': 0.9946804642677307}"
309,"{'label': 'NEGATIVE', 'score': 0.9878581762313843}"
310,"{'label': 'NEGATIVE', 'score': 0.9921036958694458}"
311,"{'label': 'NEGATIVE', 'score': 0.9988180994987488}"
312,"{'label': 'POSITIVE', 'score': 0.9945529103279114}"
313,"{'label': 'NEGATIVE', 'score': 0.9837967753410339}"
314,"{'label': 'NEGATIVE', 'score': 0.9333176016807556}"
315,"{'label': 'POSITIVE', 'score': 0.9970642924308777}"
316,"{'label': 'POSITIVE', 'score': 0.9992296695709229}"
317,"{'label': 'POSITIVE', 'score': 0.9642266631126404}"
318,"{'label': 'NEGATIVE', 'score': 0.9979000091552734}"
319,"{'label': 'NEGATIVE', 'score': 0.975716769695282}"
320,"{'label': 'NEGATIVE', 'score': 0.9979493021965027}"
321,"{'label': 'NEGATIVE', 'score': 0.9821617603302002}"
322,"{'label': 'POSITIVE', 'score': 0.9992896318435669}"
323,"{'label': 'NEGATIVE', 'score': 0.9772388935089111}"
324,"{'label': 'NEGATIVE', 'score': 0.9541047215461731}"
325,"{'label': 'NEGATIVE', 'score': 0.9700214862823486}"
326,"{'label': 'NEGATIVE', 'score': 0.994965136051178}"
327,"{'label': 'NEGATIVE', 'score': 0.9976892471313477}"
328,"{'label': 'POSITIVE', 'score': 0.9479663372039795}"
329,"{'label': 'POSITIVE', 'score': 0.9956042766571045}"
330,"{'label': 'NEGATIVE', 'score': 0.9804474115371704}"
331,"{'label': 'NEGATIVE', 'score': 0.9993466734886169}"
332,"{'label': 'NEGATIVE', 'score': 0.9952955842018127}"
333,"{'label': 'NEGATIVE', 'score': 0.9984527826309204}"
334,"{'label': 'NEGATIVE', 'score': 0.9992352724075317}"
335,"{'label': 'NEGATIVE', 'score': 0.8395769596099854}"
336,"{'label': 'POSITIVE', 'score': 0.9931551814079285}"
337,"{'label': 'NEGATIVE', 'score': 0.9916595816612244}"
338,"{'label': 'NEGATIVE', 'score': 0.9891409873962402}"
339,"{'label': 'NEGATIVE', 'score': 0.9994255304336548}"
340,"{'label': 'NEGATIVE', 'score': 0.898266077041626}"
341,"{'label': 'NEGATIVE', 'score': 0.991973876953125}"
342,"{'label': 'POSITIVE', 'score': 0.997246265411377}"
343,"{'label': 'NEGATIVE', 'score': 0.9829401969909668}"
344,"{'label': 'NEGATIVE', 'score': 0.7558466196060181}"
345,"{'label': 'POSITIVE', 'score': 0.9997413754463196}"
346,"{'label': 'POSITIVE', 'score': 0.9992296695709229}"
347,"{'label': 'NEGATIVE', 'score': 0.9547016024589539}"
348,"{'label': 'NEGATIVE', 'score': 0.9659165143966675}"
349,"{'label': 'NEGATIVE', 'score': 0.9981814622879028}"
350,"{'label': 'NEGATIVE', 'score': 0.9236644506454468}"
351,"{'label': 'POSITIVE', 'score': 0.999256432056427}"
352,"{'label': 'NEGATIVE', 'score': 0.9873180985450745}"
353,"{'label': 'NEGATIVE', 'score': 0.9992949962615967}"
354,"{'label': 'POSITIVE', 'score': 0.9446539282798767}"
355,"{'label': 'NEGATIVE', 'score': 0.999619722366333}"
356,"{'label': 'POSITIVE', 'score': 0.9351575374603271}"
357,"{'label': 'NEGATIVE', 'score': 0.9986143112182617}"
358,"{'label': 'NEGATIVE', 'score': 0.9946468472480774}"
359,"{'label': 'POSITIVE', 'score': 0.9998255372047424}"
360,"{'label': 'NEGATIVE', 'score': 0.9978005290031433}"
361,"{'label': 'POSITIVE', 'score': 0.9986425042152405}"
362,"{'label': 'NEGATIVE', 'score': 0.9966643452644348}"
363,"{'label': 'NEGATIVE', 'score': 0.9995207786560059}"
364,"{'label': 'POSITIVE', 'score': 0.9755392074584961}"
365,"{'label': 'NEGATIVE', 'score': 0.997723400592804}"
366,"{'label': 'NEGATIVE', 'score': 0.999517560005188}"
367,"{'label': 'NEGATIVE', 'score': 0.9831132888793945}"
368,"{'label': 'NEGATIVE', 'score': 0.9892559051513672}"
369,"{'label': 'NEGATIVE', 'score': 0.9879516959190369}"
370,"{'label': 'NEGATIVE', 'score': 0.9994410872459412}"
371,"{'label': 'POSITIVE', 'score': 0.9719003438949585}"
372,"{'label': 'NEGATIVE', 'score': 0.9983776807785034}"
373,"{'label': 'POSITIVE', 'score': 0.9975069165229797}"
374,"{'label': 'NEGATIVE', 'score': 0.997887909412384}"
375,"{'label': 'NEGATIVE', 'score': 0.9967435598373413}"
376,"{'label': 'NEGATIVE', 'score': 0.999363124370575}"
377,"{'label': 'NEGATIVE', 'score': 0.9690762758255005}"
378,"{'label': 'POSITIVE', 'score': 0.9872883558273315}"
379,"{'label': 'NEGATIVE', 'score': 0.9987241625785828}"
380,"{'label': 'NEGATIVE', 'score': 0.9960619807243347}"
381,"{'label': 'POSITIVE', 'score': 0.999835729598999}"
382,"{'label': 'NEGATIVE', 'score': 0.9965818524360657}"
383,"{'label': 'NEGATIVE', 'score': 0.8502035140991211}"
384,"{'label': 'NEGATIVE', 'score': 0.9984809756278992}"
385,"{'label': 'NEGATIVE', 'score': 0.9967616200447083}"
386,"{'label': 'NEGATIVE', 'score': 0.9920382499694824}"
387,"{'label': 'NEGATIVE', 'score': 0.9907637238502502}"
388,"{'label': 'NEGATIVE', 'score': 0.9899826645851135}"
389,"{'label': 'NEGATIVE', 'score': 0.9994138479232788}"
390,"{'label': 'POSITIVE', 'score': 0.9998785257339478}"
391,"{'label': 'NEGATIVE', 'score': 0.9978068470954895}"
392,"{'label': 'NEGATIVE', 'score': 0.9689479470252991}"
393,"{'label': 'NEGATIVE', 'score': 0.9955822825431824}"
394,"{'label': 'POSITIVE', 'score': 0.9974103569984436}"
395,"{'label': 'NEGATIVE', 'score': 0.9974225759506226}"
396,"{'label': 'NEGATIVE', 'score': 0.9997879862785339}"
397,"{'label': 'NEGATIVE', 'score': 0.9989283680915833}"
398,"{'label': 'NEGATIVE', 'score': 0.9850229620933533}"
399,"{'label': 'POSITIVE', 'score': 0.9597977995872498}"
400,"{'label': 'NEGATIVE', 'score': 0.9988341927528381}"
401,"{'label': 'NEGATIVE', 'score': 0.9990870952606201}"
402,"{'label': 'NEGATIVE', 'score': 0.973646342754364}"
403,"{'label': 'POSITIVE', 'score': 0.8619241714477539}"
404,"{'label': 'POSITIVE', 'score': 0.9948551654815674}"
405,"{'label': 'NEGATIVE', 'score': 0.9989093542098999}"
406,"{'label': 'POSITIVE', 'score': 0.9991998076438904}"
407,"{'label': 'NEGATIVE', 'score': 0.9968313574790955}"
408,"{'label': 'NEGATIVE', 'score': 0.9948321580886841}"
409,"{'label': 'NEGATIVE', 'score': 0.9991377592086792}"
410,"{'label': 'NEGATIVE', 'score': 0.9948351383209229}"
411,"{'label': 'POSITIVE', 'score': 0.7291483283042908}"
412,"{'label': 'NEGATIVE', 'score': 0.9995166063308716}"
413,"{'label': 'NEGATIVE', 'score': 0.9995459914207458}"
414,"{'label': 'POSITIVE', 'score': 0.9917023777961731}"
415,"{'label': 'NEGATIVE', 'score': 0.723996639251709}"
416,"{'label': 'NEGATIVE', 'score': 0.9997265934944153}"
417,"{'label': 'NEGATIVE', 'score': 0.9889955520629883}"
418,"{'label': 'POSITIVE', 'score': 0.7683470845222473}"
419,"{'label': 'NEGATIVE', 'score': 0.9926451444625854}"
420,"{'label': 'POSITIVE', 'score': 0.999471127986908}"
421,"{'label': 'POSITIVE', 'score': 0.9976224303245544}"
422,"{'label': 'POSITIVE', 'score': 0.9275780916213989}"
423,"{'label': 'POSITIVE', 'score': 0.9975069165229797}"
424,"{'label': 'NEGATIVE', 'score': 0.9943952560424805}"
425,"{'label': 'NEGATIVE', 'score': 0.9976872205734253}"
426,"{'label': 'NEGATIVE', 'score': 0.995506763458252}"
427,"{'label': 'NEGATIVE', 'score': 0.9992571473121643}"
